0.2167,0.3715,0.5761,0.2524,0.6604,0.6374,Healthy
0.2105,0.3902,0.5976,0.2243,0.672,0.6334,Healthy
0.2286,0.3993,0.5,0.2422,0.6646,0.6225,Healthy
0.2162,0.3912,0.5764,0.2419,0.6608,0.6286,Healthy
0.2161,0.4063,0.5209,0.2415,0.6675,0.6365,Healthy
0.1887,0.3619,0.5025,0.2223,0.6509,0.6284,Healthy
0.204,0.402,0.5573,0.1959,0.6515,0.6031,Healthy
0.1913,0.3993,0.5745,0.2424,0.6636,0.639,Healthy
0.1991,0.396,0.5731,0.2464,0.6545,0.6161,Healthy
0.2091,0.3804,0.5641,0.2295,0.6707,0.6402,Healthy
0.2183,0.4196,0.4643,0.2559,0.6665,0.6378,Healthy
0.1979,0.3562,0.5514,0.2383,0.667,0.625,Healthy
0.208,0.3362,0.4757,0.215,0.6579,0.6328,Healthy
0.2081,0.387,0.5703,0.2264,0.6713,0.6527,Healthy
0.2112,0.3767,0.5521,0.226,0.6545,0.6032,Healthy
0.2134,0.3377,0.5385,0.2625,0.6634,0.6241,Healthy
0.1898,0.3634,0.5392,0.2318,0.6378,0.6087,Healthy
0.2053,0.3641,0.5418,0.2204,0.6342,0.5992,Healthy
0.2012,0.3751,0.5582,0.2121,0.6611,0.6238,Healthy
0.2185,0.3948,0.5828,0.2485,0.6749,0.6414,Healthy
0.2054,0.3693,0.5247,0.2214,0.6574,0.6086,Healthy
0.1978,0.4185,0.5413,0.2467,0.6412,0.6084,Healthy
0.1994,0.3699,0.5731,0.2143,0.6566,0.6273,Healthy
0.2044,0.3534,0.5407,0.2024,0.6541,0.6417,Healthy
0.2038,0.3759,0.5382,0.2015,0.6559,0.6169,Healthy
0.2185,0.3573,0.5806,0.2436,0.6778,0.62,Healthy
0.1999,0.4169,0.4782,0.2243,0.6411,0.6149,Healthy
0.2308,0.4055,0.5842,0.2131,0.6495,0.6184,Healthy
0.1851,0.4091,0.5345,0.2166,0.64,0.5958,Healthy
0.2004,0.3826,0.5585,0.2168,0.6682,0.6267,Healthy
0.1947,0.3799,0.5666,0.2409,0.6492,0.6052,Healthy
0.1781,0.3367,0.5138,0.1709,0.6534,0.6284,Healthy
0.2418,0.4141,0.5824,0.261,0.6599,0.6315,Healthy
0.1952,0.3804,0.5382,0.2049,0.6649,0.6129,Healthy
0.1921,0.3504,0.5019,0.255,0.6775,0.6383,Healthy
0.1909,0.361,0.5406,0.2308,0.6489,0.6373,Healthy
0.2039,0.4036,0.5979,0.2253,0.6483,0.6194,Healthy
0.2254,0.3727,0.5644,0.2121,0.6553,0.6233,Healthy
0.2155,0.3886,0.5784,0.2533,0.672,0.6598,Healthy
0.212,0.3838,0.5267,0.2218,0.6685,0.6333,Healthy
0.2124,0.4217,0.4988,0.2359,0.6555,0.6202,Healthy
0.2177,0.3723,0.5539,0.1844,0.6748,0.6493,Healthy
0.2001,0.4121,0.5796,0.2126,0.6755,0.6501,Healthy
0.2286,0.3844,0.5838,0.2465,0.6528,0.6306,Healthy
0.1981,0.3674,0.5418,0.2184,0.6737,0.6346,Healthy
0.2129,0.3978,0.5655,0.2427,0.6505,0.634,Healthy
0.1981,0.3913,0.5417,0.2515,0.6745,0.6498,Healthy
0.2085,0.4175,0.5707,0.229,0.6592,0.6157,Healthy
0.2067,0.4061,0.5244,0.2429,0.6506,0.6301,Healthy
0.2082,0.4084,0.5712,0.2458,0.6451,0.5822,Healthy
0.2067,0.3846,0.5763,0.2382,0.6623,0.6279,Healthy
0.2145,0.3961,0.5394,0.2433,0.6379,0.6043,Healthy
0.2108,0.4101,0.5797,0.2227,0.6788,0.6483,Healthy
0.2329,0.3671,0.5279,0.2237,0.6556,0.6268,Healthy
0.2148,0.4227,0.4885,0.2216,0.6536,0.6132,Healthy
0.2102,0.379,0.543,0.2531,0.6752,0.6347,Healthy
0.2181,0.3961,0.5389,0.2028,0.6535,0.6399,Healthy
0.2168,0.4024,0.5902,0.2433,0.6619,0.6199,Healthy
0.2167,0.3878,0.5597,0.2016,0.6624,0.6222,Healthy
0.2018,0.3946,0.4755,0.2147,0.6731,0.6408,Healthy
0.2051,0.3721,0.5397,0.231,0.6446,0.6237,Healthy
0.2208,0.3761,0.5461,0.2186,0.6811,0.651,Healthy
0.2141,0.4296,0.502,0.2424,0.6592,0.6215,Healthy
0.2303,0.3978,0.5131,0.2246,0.6724,0.6357,Healthy
0.2343,0.397,0.5635,0.2455,0.6552,0.6296,Healthy
0.2076,0.3646,0.5481,0.216,0.6691,0.6625,Healthy
0.2129,0.4473,0.5972,0.2616,0.6785,0.6612,Healthy
0.2296,0.398,0.5474,0.1973,0.6722,0.6281,Healthy
0.2145,0.3739,0.5704,0.2346,0.6842,0.6455,Healthy
0.2229,0.4119,0.5756,0.2044,0.6846,0.6436,Healthy
0.2146,0.3946,0.5316,0.2453,0.6586,0.6466,Healthy
0.227,0.4088,0.5204,0.2124,0.6572,0.643,Healthy
0.2263,0.4003,0.5652,0.2182,0.6773,0.6483,Healthy
0.2173,0.427,0.5653,0.2519,0.6811,0.6595,Healthy
0.212,0.4084,0.573,0.2064,0.6558,0.6435,Healthy
0.2382,0.4005,0.5001,0.2263,0.6549,0.6327,Healthy
0.2155,0.3902,0.5593,0.2251,0.6693,0.6343,Healthy
0.2243,0.4028,0.5649,0.1977,0.6538,0.6064,Healthy
0.2338,0.397,0.5619,0.2084,0.6691,0.6225,Healthy
0.2138,0.3906,0.5768,0.208,0.6787,0.6324,Healthy
0.2085,0.4341,0.5939,0.2384,0.6694,0.6506,Healthy
0.2286,0.4169,0.565,0.2141,0.666,0.6449,Healthy
0.2219,0.4095,0.5297,0.223,0.6608,0.6119,Healthy
0.229,0.4007,0.4838,0.2145,0.6581,0.6406,Healthy
0.2185,0.4348,0.6007,0.2331,0.6627,0.6271,Healthy
0.2063,0.4184,0.5852,0.224,0.6609,0.6512,Healthy
0.2175,0.3914,0.5334,0.1985,0.6621,0.6461,Healthy
0.2191,0.432,0.5763,0.2377,0.6658,0.6284,Healthy
0.2153,0.4257,0.5776,0.184,0.6702,0.6512,Healthy
0.2202,0.4494,0.5934,0.2501,0.6657,0.6331,Healthy
0.2373,0.4404,0.4872,0.2104,0.6704,0.6451,Healthy
0.2221,0.431,0.574,0.2065,0.6586,0.6218,Healthy
0.2167,0.3805,0.5258,0.2011,0.6591,0.6319,Healthy
0.2259,0.4503,0.5471,0.2148,0.665,0.6116,Healthy
0.2436,0.3795,0.5535,0.2288,0.6616,0.6392,Healthy
0.232,0.4148,0.5806,0.2502,0.6658,0.6412,Healthy
0.2094,0.3911,0.525,0.2071,0.6689,0.6319,Healthy
0.2363,0.4131,0.5579,0.2253,0.6439,0.6182,Healthy
0.2127,0.4203,0.5411,0.2102,0.652,0.6014,Healthy
0.2314,0.3881,0.5501,0.2286,0.6668,0.6222,Healthy
0.2043,0.3898,0.5668,0.1894,0.6599,0.6326,Healthy
0.2272,0.4288,0.5016,0.1998,0.6738,0.6293,Healthy
0.2103,0.4004,0.5663,0.2399,0.6585,0.6207,Healthy
0.234,0.4212,0.5525,0.2574,0.6765,0.6461,Healthy
0.2409,0.4152,0.4911,0.2181,0.6893,0.6456,Healthy
0.2122,0.4154,0.4819,0.2345,0.6547,0.6122,Healthy
0.2312,0.4051,0.537,0.2153,0.6593,0.613,Healthy
0.2283,0.4081,0.5378,0.2181,0.6536,0.6244,Healthy
