0.2167,0.3715,0.5761,0.2524,0.6604,0.6374,1
0.2105,0.3902,0.5976,0.2243,0.672,0.6334,1
0.2286,0.3993,0.5,0.2422,0.6646,0.6225,1
0.2162,0.3912,0.5764,0.2419,0.6608,0.6286,1
0.2161,0.4063,0.5209,0.2415,0.6675,0.6365,1
0.1887,0.3619,0.5025,0.2223,0.6509,0.6284,1
0.204,0.402,0.5573,0.1959,0.6515,0.6031,1
0.1913,0.3993,0.5745,0.2424,0.6636,0.639,1
0.1991,0.396,0.5731,0.2464,0.6545,0.6161,1
0.2091,0.3804,0.5641,0.2295,0.6707,0.6402,1
0.2183,0.4196,0.4643,0.2559,0.6665,0.6378,1
0.1979,0.3562,0.5514,0.2383,0.667,0.625,1
0.208,0.3362,0.4757,0.215,0.6579,0.6328,1
0.2081,0.387,0.5703,0.2264,0.6713,0.6527,1
0.2112,0.3767,0.5521,0.226,0.6545,0.6032,1
0.2134,0.3377,0.5385,0.2625,0.6634,0.6241,1
0.1898,0.3634,0.5392,0.2318,0.6378,0.6087,1
0.2053,0.3641,0.5418,0.2204,0.6342,0.5992,1
0.2012,0.3751,0.5582,0.2121,0.6611,0.6238,1
0.2185,0.3948,0.5828,0.2485,0.6749,0.6414,1
0.2054,0.3693,0.5247,0.2214,0.6574,0.6086,1
0.1978,0.4185,0.5413,0.2467,0.6412,0.6084,1
0.1994,0.3699,0.5731,0.2143,0.6566,0.6273,1
0.2044,0.3534,0.5407,0.2024,0.6541,0.6417,1
0.2038,0.3759,0.5382,0.2015,0.6559,0.6169,1
0.2185,0.3573,0.5806,0.2436,0.6778,0.62,1
0.1999,0.4169,0.4782,0.2243,0.6411,0.6149,1
0.2308,0.4055,0.5842,0.2131,0.6495,0.6184,1
0.1851,0.4091,0.5345,0.2166,0.64,0.5958,1
0.2004,0.3826,0.5585,0.2168,0.6682,0.6267,1
0.1947,0.3799,0.5666,0.2409,0.6492,0.6052,1
0.1781,0.3367,0.5138,0.1709,0.6534,0.6284,1
0.2418,0.4141,0.5824,0.261,0.6599,0.6315,1
0.1952,0.3804,0.5382,0.2049,0.6649,0.6129,1
0.1921,0.3504,0.5019,0.255,0.6775,0.6383,1
0.1909,0.361,0.5406,0.2308,0.6489,0.6373,1
0.2039,0.4036,0.5979,0.2253,0.6483,0.6194,1
0.2254,0.3727,0.5644,0.2121,0.6553,0.6233,1
0.2155,0.3886,0.5784,0.2533,0.672,0.6598,1
0.212,0.3838,0.5267,0.2218,0.6685,0.6333,1
0.2124,0.4217,0.4988,0.2359,0.6555,0.6202,1
0.2177,0.3723,0.5539,0.1844,0.6748,0.6493,1
0.2001,0.4121,0.5796,0.2126,0.6755,0.6501,1
0.2286,0.3844,0.5838,0.2465,0.6528,0.6306,1
0.1981,0.3674,0.5418,0.2184,0.6737,0.6346,1
0.2129,0.3978,0.5655,0.2427,0.6505,0.634,1
0.1981,0.3913,0.5417,0.2515,0.6745,0.6498,1
0.2085,0.4175,0.5707,0.229,0.6592,0.6157,1
0.2067,0.4061,0.5244,0.2429,0.6506,0.6301,1
0.2082,0.4084,0.5712,0.2458,0.6451,0.5822,1
0.2067,0.3846,0.5763,0.2382,0.6623,0.6279,1
0.2145,0.3961,0.5394,0.2433,0.6379,0.6043,1
0.2108,0.4101,0.5797,0.2227,0.6788,0.6483,1
0.2329,0.3671,0.5279,0.2237,0.6556,0.6268,1
0.2148,0.4227,0.4885,0.2216,0.6536,0.6132,1
0.2102,0.379,0.543,0.2531,0.6752,0.6347,1
0.2181,0.3961,0.5389,0.2028,0.6535,0.6399,1
0.2168,0.4024,0.5902,0.2433,0.6619,0.6199,1
